Country 	total subscriptions	subscriptions per 100 inhabitants	year	notes
Afghanistan	23929713	70	2017 est.	
Albania	3497950	115	2017 est.	
Algeria	49873389	122	2017 est.	
Andorra	80337	104	2017 est.	
Angola	13323952	45	2017 est.	
Anguilla	26000	158	July 2016 est.	
Antigua and Barbuda	180000	190	2017 est.	
Argentina	61897379	144	2017 est.	
Armenia	3488524	115	2017 est.	
Aruba	141000	126	July 2016 est.	
Australia	27.553 million	119	2017 est.	
Austria	14924340	170	2017 est.	
Azerbaijan	10.127 million	102	2017 est.	
Bahamas, The	353540	107	2017 est.	
Bahrain	2364477	168	2017 est.	
Bangladesh	145113669	92	2017 est.	
Barbados	337791	116	2017 est.	
Belarus	10963224	115	2017 est.	
Belgium	11961089	104	2017 est.	
Belize	227000	63	July 2016 est.	
Benin	8773044	79	2017 est.	
Bermuda	64997	92	2017 est.	
Bhutan	730623	96	2017 est.	
Bolivia	10106216	91	July 2016 est.	
Bosnia and Herzegovina	3440085	89	2017 est.	
Botswana	3240589	146	2017 est.	
Brazil	236488548	114	2017 est.	
British Virgin Islands	42000	126	July 2106 est.	
Brunei	544732	123	2017 est.	
Bulgaria	8532908	120	2017 est.	
Burkina Faso	17946375	89	2017 est.	
Burma	47951228	87	2017 est.	
Burundi	5920612	52	2017 est.	
Cabo Verde	612259	109	2017 est.	
Cambodia	18572973	115	2017 est.	
Cameroon	19706027	79	2017 est.	
Canada	31458600	88	2017 est.	
Cayman Islands	95656	164	July 2016 est.	
Central African Republic	1248346	22	July 2016 est.	
Chad	6231009	52	July 2016 est.	
Chile	23013147	129	2017 est.	
China	1474097000	107	2017 est.	
Colombia	62222011	130	2017 est.	
Comoros	446868	55	2017 est.	
Congo, Democratic Republic of the	35270156	42	2017 est.	
Congo, Republic of the	5.056 million	102	2017 est.	
Cook Islands	11000	105	July 2016 est.	
Costa Rica	8840342	179	2017 est.	
Cote d'Ivoire	31747233	131	2017 est.	
Croatia	4315580	101	2017 est.	
Cuba	4613782	41	2017 est.	
Cyprus	1176801	96	2017 est.	
Czechia	12634937	118	2017 est.	
Denmark	6978348	124	2017 est.	
Djibouti	373052	43	2017 est.	
Dominica	78444	106	July 2016 est.	
Dominican Republic	8769127	82	2017 est.	
Ecuador	13881562	85	2017 est.	
Egypt	102958194	106	2017 est.	
El Salvador	9982186	162	2017 est.	
Equatorial Guinea	575650	74	July 2016 est.	
Eritrea	506000	9	July 2016 est.	
Estonia	1904425	152	2017 est.	
Eswatini	995000	68	July 2016 est.	
Ethiopia	62.617 million	59	2017 est.	
European Union	625000799	121	2017 est.	
Falkland Islands (Islas Malvinas)	4674	146	July 2016 est.	
Faroe Islands	54487	107	July 2016 est.	
Fiji	1033915	112	2017 est.	
Finland	7307800	132	2017 est.	
France	69.017 million	103	2017 est.	
French Polynesia	280111	97	July 2016 est.	
Gabon	2663243	150	2017 est.	
Gambia, The	2838127	138	July 2016 est.	
Gaza Strip	3531000	76	July 2016 est.	include the West Bank
Georgia	5730625	116	2017 est.	
Germany	106 million	132	2017 est.	
Ghana	36751761	134	2017 est.	
Gibraltar	41035	140	2017 est.	
Greece	12937106	120	2017 est.	
Greenland	61000	106	July 2016 est.	
Grenada	113177	101	2017 est.	
Guam	181000	113	July 2016 est.	
Guatemala	19986482	129	2017 est.	
Guernsey	71249	113	July 2016 est.	
Guinea	10.8 million	87	July 2016 est.	
Guinea-Bissau	1434822	80	2017 est.	
Guyana	643210	87	2017 est.	
Haiti	6486549	61	2017 est.	
Honduras	8233499	91	2017 est.	
Hong Kong	18340347	255	2017 est.	
Hungary	12030940	122	2017 est.	
Iceland	410662	121	2017 est.	
India	1168902277	91	2017 est.	
Indonesia	458923202	176	2017 est.	
Iran	87106508	106	2017 est.	
Iraq	33335316	85	2017 est.	
