Country 	total population	male	female	 year
Afghanistan	52.1	50.6	53.6	2018 est.
Albania	78.6	76	81.6	2018 est.
Algeria	77.2	75.8	78.7	2018 est.
American Samoa	73.9	71.6	76.2	2018 est.
Andorra	82.9	80.7	85.3	2018 est.
Angola	60.6	58.5	62.7	2018 est.
Anguilla	81.6	79	84.3	2018 est.
Antigua and Barbuda	76.9	74.8	79.2	2018 est.
Argentina	77.5	74.4	80.8	2018 est.
Armenia	75.1	71.8	78.7	2018 est.
Aruba	77.1	74.1	80.3	2018 est.
Australia	82.4	79.9	85	2018 est.
Austria	81.7	79	84.5	2018 est.
Azerbaijan	73	70	76.4	2018 est.
Bahamas, The	72.9	70.4	75.4	2018 est.
Bahrain	79.1	76.9	81.5	2018 est.
Bangladesh	73.7	71.5	75.9	2018 est.
Barbados	75.7	73.3	78.1	2018 est.
Belarus	73.2	67.8	79	2018 est.
Belgium	81.2	78.6	83.9	2018 est.
Belize	74.7	73.1	76.3	2018 est.
Benin	62.7	61.2	64.2	2018 est.
Bermuda	81.5	78.3	84.7	2018 est.
Bhutan	71.1	70.1	72.2	2018 est.
Bolivia	69.8	67	72.8	2018 est.
Bosnia and Herzegovina	77.1	74.1	80.3	2018 est.
Botswana	63.8	61.8	66	2018 est.
Brazil	74.3	70.7	78	2018 est.
British Virgin Islands	78.9	77.5	80.4	2018 est.
Brunei	77.5	75.2	80	2018 est.
Bulgaria	74.8	71.5	78.3	2018 est.
Burkina Faso	60.77	60	63.6	2017/2018 est.
Burma	68.6	67	70.3	2018 est.
Burundi	61.4	59.6	63.2	2018 est.
Cabo Verde	72.7	70.3	75.1	2018 est.
Cambodia	65.2	62.7	67.9	2018 est.
Cameroon	59.4	58	60.9	2018 est.
Canada	82	79.4	84.8	2018 est.
Cayman Islands	81.4	78.7	84.2	2018 est.
Central African Republic	53.3	51.9	54.7	2018 est.
Chad	57.5	55.7	59.3	2018 est.
Chile	79.1	76	82.2	2018 est.
China	75.8	73.7	78.1	2018 est.
Christmas Island				2017 est.
Cocos (Keeling) Islands				2017 est.
Colombia	76.2	73	79.5	2018 est.
Comoros	64.9	62.6	67.4	2018 est.
Congo, Democratic Republic of the	58.1	56.5	59.7	2018 est.
Congo, Republic of the	60.3	59	61.6	2018 est.
Cook Islands	76.2	73.4	79.2	2018 est.
Costa Rica	78.9	76.2	81.7	2018 est.
Cote d'Ivoire	60.1	58	62.4	2018 est.
Croatia	76.3	73.2	79.6	2018 est.
Cuba	78.9	76.6	81.4	2018 est.
Curacao	78.6	76.3	81.1	2018 est.
Cyprus	79	76.2	81.9	2018 est.
Czechia	78.9	76	82.1	2018 est.
Denmark	81	79.1	83.1	2018 est.
Djibouti	64	61.4	66.6	2018 est.
Dominica	77.4	74.4	80.5	2018 est.
Dominican Republic	71.3	69.7	73.1	2018 est.
Ecuador	77.1	74.2	80.3	2018 est.
Egypt	73.2	71.8	74.7	2018 est.
El Salvador	75.1	71.8	78.6	2018 est.
Equatorial Guinea	65	63.8	66.2	2018 est.
Eritrea	65.6	63	68.2	2018 est.
Estonia	77	72.3	82	2018 est.
Eswatini	57.2	55.1	59.3	2018 est.
Ethiopia	63	60.5	65.5	2018 est.
European Union	80.7	77.9	83.6	2018 est.
Falkland Islands (Islas Malvinas)	77.9	75.6	79.6	2017 est.
Faroe Islands	80.6	78.1	83.3	2018 est.
Fiji	73.2	70.5	76	2018 est.
Finland	81.1	78.1	84.2	2018 est.
France	82	78.9	85.3	2018 est.
French Polynesia	77.5	75.2	80	2018 est.
Gabon	68	66.3	69.6	2018 est.
Gambia, The	65.4	63	67.8	2018 est.
Gaza Strip	74.4	72.7	76.2	2018 est.
Georgia	76.6	72.5	80.9	2018 est.
