Rank	Country	Population	Date of Information
1	China	1384688986	July 2018 est.
2	India	1296834042	July 2018 est.
3	United States	329256465	July 2018 est.
4	Indonesia	262787403	July 2018 est.
5	Brazil	208846892	July 2018 est.
6	Pakistan	207862518	July 2018 est.
7	Nigeria	203452505	July 2018 est.
8	Bangladesh	159453001	July 2018 est.
9	Russia	142122776	July 2018 est.
10	Japan	126168156	July 2018 est.
11	Mexico	125959205	July 2018 est.
12	Ethiopia	108386391	July 2018 est.
13	Philippines	105893381	July 2018 est.
14	Egypt	99413317	July 2018 est.
15	Vietnam	97040334	July 2018 est.
16	Congo, Democratic Republic of the	85281024	July 2018 est.
17	Iran	83024745	July 2018 est.
18	Turkey	81257239	July 2018 est.
19	Germany	80457737	July 2018 est.
20	Thailand	68615858	July 2018 est.
21	France	67364357	July 2018 est.
22	United Kingdom	65105246	July 2018 est.
23	Italy	62246674	July 2018 est.
24	Burma	55622506	July 2018 est.
25	Tanzania	55451343	July 2018 est.
26	South Africa	55380210	July 2018 est.
27	Korea, South	51418097	July 2018 est.
28	Spain	49331076	July 2018 est.
29	Kenya	48397527	July 2018 est.
30	Colombia	48168996	July 2018 est.
31	Argentina	44694198	July 2018 est.
32	Ukraine	43952299	July 2018 est.
33	Sudan	43120843	July 2018 est.
34	Algeria	41657488	July 2018 est.
35	Uganda	40853749	July 2018 est.
36	Iraq	40194216	July 2018 est.
37	Poland	38420687	July 2018 est.
38	Canada	35881659	July 2018 est.
39	Afghanistan	34940837	July 2018 est.
40	Morocco	34314130	July 2018 est.
41	Saudi Arabia	33091113	July 2018 est.
42	Malaysia	31809660	July 2018 est.
43	Venezuela	31689176	July 2018 est.
44	Peru	31331228	July 2018 est.
45	Angola	30355880	July 2018 est.
46	Uzbekistan	30023709	July 2018 est.
47	Nepal	29717587	July 2018 est.
48	Yemen	28667230	July 2018 est.
49	Ghana	28102471	July 2018 est.
50	Mozambique	27233789	July 2018 est.
51	Cote d'Ivoire	26260582	July 2018 est.
52	Madagascar	25683610	July 2018 est.
53	Cameroon	25640965	July 2018 est.
54	Korea, North	25381085	July 2018 est.
55	Taiwan	23545963	July 2018 est.
56	Australia	23470145	July 2018 est.
57	Sri Lanka	22576592	July 2018 est.
58	Romania	21457116	July 2018 est.
59	Niger	19866231	July 2018 est.
60	Malawi	19842560	July 2018 est.
61	Burkina Faso	19742715	July 2018 est.
