Rank	Country	(%)
1	French Polynesia	56.7
2	South Africa	53.4
3	Kosovo	52.4
4	Libya	48.7
5	Eswatini	47.1
6	Gaza Strip	46.9
7	West Bank	46.9
8	Macedonia	46.7
9	Saint Lucia	46.2
10	Bosnia and Herzegovina	45.8
11	Namibia	44.9
12	Greece	43.6
13	Angola	39.4
14	South Sudan	38.6
15	Spain	38.6
16	New Caledonia	38.4
17	Armenia	36.3
18	Botswana	36
19	Syria	35.8
20	Gabon	35.7
21	Jordan	35.6
22	Italy	34.7
23	Tunisia	34.7
24	Lesotho	34.4
25	Cabo Verde	32.5
26	Albania	31.9
27	Samoa	31.9
28	Montenegro	31.7
29	Georgia	30.5
30	Curacao	29.7
31	Serbia	29.7
32	Barbados	29.6
33	Egypt	29.6
34	Guam	29.4
35	Bermuda	29.3
36	Aruba	28.9
37	Brunei	28.9
38	Brazil	28.5
39	Iran	28.4
40	Croatia	27.4
41	San Marino	27.4
42	Monaco	26.6
43	Nauru	26.6
44	Puerto Rico	26.6
45	Bahamas, The	25.8
46	Algeria	25.7
47	Iraq	25.6
48	Ethiopia	25.2
49	Uruguay	24.8
50	Cyprus	24.7
51	Yemen	24.5
52	Saudi Arabia	24.2
53	Jamaica	24.1
54	Mauritius	24
55	Zambia	24
56	Portugal	23.9
57	Ukraine	23
58	Argentina	22.6
59	Rwanda	22.6
60	France	22.3
61	Morocco	22.2
62	Guyana	21.6
63	Sri Lanka	21
64	Sao Tome and Principe	20.8
65	Costa Rica	20.6
66	Tuvalu	20.6
67	Turkey	20.5
68	Finland	20.1
69	Sudan	20
70	Belgium	19.3
71	Micronesia, Federated States of	18.9
72	Slovakia	18.9
73	Colombia	18.7
74	Romania	18.3
75	Laos	18.2
76	Chile	18.1
77	Mongolia	17.9
78	Sweden	17.9
79	Afghanistan	17.6
80	Kiribati	17.1
81	Latvia	17
82	Tajikistan	16.7
83	Zimbabwe	16.5
84	Russia	16.3
85	Maldives	15.9
86	Indonesia	15.6
87	Fiji	15.4
88	Kuwait	15.4
89	Luxembourg	15.4
90	Belize	15.3
91	Ghana	15.2
92	Mauritania	15.2
93	Kyrgyzstan	14.8
94	Poland	14.8
95	Uganda	14.8
96	Peru	14.7
97	Venezuela	14.6
98	Paraguay	14.5
99	Ireland	14.4
100	Cayman Islands	13.8
101	Oman	13.7
102	Dominican Republic	13.5
103	Azerbaijan	13.4
104	Suriname	13.4
105	Lithuania	13.3
106	Timor-Leste	13.2
107	Gambia, The	13.1
108	Bulgaria	12.9
109	Bangladesh	12.8
110	New Zealand	12.7
111	Australia	12.6
112	Nigeria	12.4
113	Estonia	12.1
114	United Kingdom	12.1
115	Malta	11.3
116	Slovenia	11.2
117	Canada	11.1
118	Denmark	11
119	Marshall Islands	11
120	Seychelles	10.9
121	Panama	10.8
122	Bhutan	10.7
123	Hungary	10.7
124	Vanuatu	10.6
125	Malaysia	10.5
126	Korea, South	10.4
127	Norway	10.4
128	El Salvador	10.1
129	India	10.1
130	Isle of Man	10.1
131	Austria	9.8
132	Sierra Leone	9.4
133	Belarus	9.3
134	Singapore	9.1
135	Netherlands	8.9
136	Burkina Faso	8.7
137	Congo, Democratic Republic of the	8.7
138	Hong Kong	8.7
139	United States	8.6
140	Malawi	8.5
141	Nicaragua	8.5
142	Senegal	8.1
143	Switzerland	8.1
144	Czechia	7.9
145	Ecuador	7.9
146	Honduras	7.9
147	Iceland	7.9
148	Pakistan	7.8
149	United Arab Emirates	7.7
150	Philippines	7.5
151	Moldova	7.4
152	Mozambique	7.4
153	Israel	7.3
154	Vietnam	7.3
155	Trinidad and Tobago	7.1
156	Bolivia	6.9
157	Mexico	6.9
158	Germany	6.8
159	Cameroon	6.3
160	Cuba	6.1
161	Benin	5.6
162	Bahrain	5.3
163	Macau	5.3
164	Guatemala	5
165	Burma	4
166	Cote d'Ivoire	3.9
167	Kazakhstan	3.9
168	Tanzania	3.9
169	Togo	3.9
170	Thailand	3.7
171	Japan	3.6
172	Papua New Guinea	3.6
173	Burundi	2.9
174	Liberia	2.3
175	Mali	2.3
176	Solomon Islands	1.3
177	Cambodia	1.1
178	Guinea	1
179	Madagascar	1
180	Niger	0.7
181	Qatar	0.5
