Country	Happiness score
Finland	7.632
Norway	7.594
Denmark	7.555
Iceland	7.495
Switzerland	7.487
Netherlands	7.441
Canada	7.328
New Zealand	7.324
Sweden	7.314
Australia	7.272
Israel	7.19
Austria	7.139
Costa Rica	7.072
Ireland	6.977
Germany	6.965
Belgium	6.927
Luxembourg	6.91
United States	6.886
United Kingdom	6.814
United Arab Emirates	6.774
Czech Republic	6.711
Malta	6.627
France	6.489
Mexico	6.488
Chile	6.476
Taiwan Province of China	6.441
Panama	6.43
Brazil	6.419
Argentina	6.388
Guatemala	6.382
Uruguay	6.379
Qatar	6.374
Saudi Arabia	6.371
Singapore	6.343
Malaysia	6.322
Spain	6.31
Colombia	6.26
Trinidad & Tobago	6.192
Slovakia	6.173
El Salvador	6.167
Nicaragua	6.141
Poland	6.123
Bahrain	6.105
Uzbekistan	6.096
Kuwait	6.083
Thailand	6.072
Italy	6
Ecuador	5.973
Belize	5.956
Lithuania	5.952
Slovenia	5.948
Romania	5.945
Latvia	5.933
Japan	5.915
Mauritius	5.891
Jamaica	5.89
South Korea	5.875
Northern Cyprus	5.835
Russia	5.81
Kazakhstan	5.79
Cyprus	5.762
Bolivia	5.752
Estonia	5.739
Paraguay	5.681
Peru	5.663
Kosovo	5.662
Moldova	5.64
Turkmenistan	5.636
Hungary	5.62
Libya	5.566
Philippines	5.524
Honduras	5.504
Belarus	5.483
Turkey	5.483
Pakistan	5.472
Hong Kong SAR, China	5.43
Portugal	5.41
Serbia	5.398
Greece	5.358
Tajikistan	5.352
Montenegro	5.347
Croatia	5.321
Dominican Republic	5.302
Algeria	5.295
Morocco	5.254
China	5.246
Azerbaijan	5.201
Lebanon	5.199
Macedonia	5.185
Jordan	5.161
Nigeria	5.155
Kyrgyzstan	5.131
Bosnia and Herzegovina	5.129
Mongolia	5.125
Vietnam	5.103
Indonesia	5.093
Bhutan	5.082
Somalia	4.982
Cameroon	4.975
Bulgaria	4.933
Nepal	4.88
Venezuela	4.806
Gabon	4.758
Palestinian Territories	4.743
South Africa	4.724
Iran	4.707
Ivory Coast	4.671
Ghana	4.657
Senegal	4.631
Laos	4.623
Tunisia	4.592
Albania	4.586
Sierra Leone	4.571
Congo (Brazzaville)	4.559
Bangladesh	4.5
Sri Lanka	4.471
Iraq	4.456
Mali	4.447
Namibia	4.441
Cambodia	4.433
Burkina Faso	4.424
Egypt	4.419
Mozambique	4.417
Kenya	4.41
Zambia	4.377
Mauritania	4.356
Ethiopia	4.35
Georgia	4.34
Armenia	4.321
Myanmar	4.308
Chad	4.301
Congo (Kinshasa)	4.245
India	4.19
Niger	4.166
Uganda	4.161
Benin	4.141
Sudan	4.139
Ukraine	4.103
Togo	3.999
Guinea	3.964
Lesotho	3.808
Angola	3.795
Madagascar	3.774
Zimbabwe	3.692
Afghanistan	3.632
Botswana	3.59
Malawi	3.587
Haiti	3.582
Liberia	3.495
Syria	3.462
Rwanda	3.408
Yemen	3.355
Tanzania	3.303
South Sudan	3.254
Central African Republic	3.083
Burundi	2.905
